번호,제목,본문내용,국가,지역
45,[에티오피아] 2Merkato.com,"□ 사이트 개요o 사이트주소 : www.2merkato.com o 사이트 유형: 해외기업검색사이트o eCom광고회사에 의해서 개설(14년도에 Ebiz online solution PLC와 합병)o 언어: 영어, 암하릭어(에티오피아 공용어)□ 제공 정보o 700개가 넘는 사업 주소록 보유o 매일 갱신되는 입찰 공고와 광고: 주요 신문들 혹은 사용자들에 의해서 제공되는 정보o 에티오피아 사업관련 뉴스o 매일 업데이트되는 환율 정보 제공* 유무료 회원별, 이용 가능 정보 차별 제공□ 기업 검색방법 (사이트 주소 접속 후)o 기업명 직접검색 : 우측 상단의 'Search 2Merkato'에 기업명 입력 후 엔터키 누름o 산업별 기업 리스트 : 중앙 상단의 'Business Directory' 버튼 클릭 = Agriculture, Agents 등 총 13개산업군(대분류) 중 검색을 희망하는 산업 선택 = 소분류된 산업군 중 희망하는 산업 선택 (각 산업별 등록된 기업 수 확인 가능) =기업명 선택시 기업 주소 및 세부정보 확인 가능",에티오피아,아프리카
46,[영국] Applegate,"□ 사이트 개요o 사이트 유형: 기업(공급업체) 검색 웹사이트o 설명: Applegate는 1997년 설립된 영국에서 가장 큰 규모의 온라인 기업검색 웹사이트로, 바이어에게 공급업체 정보를 무료로제공함.o 제공 정보 : 15,346개 공급업체 정보 (18.9 기준)o 언어: 영어",영국,유럽
47,[오만] 오만 옐로우페이지,"□ 사이트 개요o 사이트 유형 : 기업 디렉토리o 오만 내 약 6,000개의 기업정보 보유o 언어: 영어o 별도의 회원가입은 불요□ 제공 정보o 주소, 전화, 팩스, 이메일, 웹사이트, 담당자명, 사업분류, 회사간략소개",오만,중동
48,[오스트리아] All-Biz Ltd,"□ 사이트 개요o 사이트 유형: 국제적 기업정보 데이터베이스o 연간 Website 조회수 2억2천만, 89개국의 140만개사 등록, 제품 2천만개 등록, 26개국 언어 지원, 13개국에 관리 지사 보유o 언어: 독일어, 영어, 한국어 등 총 26개 국어 지원□ 제공 정보o 업체 정보 및 판매 제품 등록, 업체명, 주소 정보 제공o 전화번호 뒤 4자리, 홈페이지, 이메일 주소는 정보보호 차원에서 열람 불가능o All-Biz 서버를 통한 메일 발송 기능o 웹사이트 기반 실시간 채팅 가능(Log in 필요)",오스트리아,유럽
49,[오스트리아] IDEC - Internet Database E-Business Center GmbH,"□ 사이트 개요o 사이트 유형: 무료 정보 검색 서비스o 1998년 설립되어 가장 오래된 기업 정보 검색 서비스이며 2005년 11월부로 기업들의 자발적인 정보 기입을 통하여 데이터베이스 구축o 언어: 독일어□ 제공 정보o 업체명, 주소, 연락처, Web, E-mail 등 기본적 정보 제공, 간단한 업체 소개 및 Google 지도를 이용한 위치 표시",오스트리아,유럽
50,[오스트리아] FirmenABC Marketing GmbH,"□ 사이트 개요o 사이트 유형: 기업 정보 검색 데이터베이스 검색 엔진o 2005년 Salzburg에서 설립되었으며 약 130명의 근무자 보유, 오스트리아 기업 49만 개사 등록, 이외 오스트리아, 독일, 스위스 업체들 등록 중o 안드로이드, ioS용 FirmenABC 어플리케이션o 언어: 독일어□ 제공 정보o 제품별, 업체별 검색 지역별 검색- 기본적인 업체 정보: 업체명, 주소, 전화번호, Web, E-Mail 정보 제공- 업체 종사 분야 및 매출(추측), 간단한 소개 등 세분화된 정보 제공",오스트리아,유럽
51,[요르단] 암만상공회의소,"□ 사이트 개요( http://www.aci.org.jo/ )o 사이트 유형: 기업정보 검색o 암만 공업회의소 회원기업 검색o 제공언어: 영어, 아랍어□ 메뉴구성o About ACI : 모든 측면에서 요르단 산업발전과 수출 능력강화o Media Center : 다양한 종류의 다큐멘터리 미디어 캠페인 제작조직 및실행o Services : 연구, 산업 개발부, 회원 부서, 법무 부서, 홍보 부서o Programs : 관련 프로그램o Industrial Directory : 관련 디렉토리 내용o E-Services : 전자 서비스o Information Platform : 수출품목에 필요한기술적 요구와 관련된 가장 중요한 정보를 가진 플랫폼",요르단,중동
52,[우루과이] PAGINAS AMARILLAS,"□ 사이트 개요o 사이트 유형: 기업검색사이트o 서비스연도: 2010년 5월 20일o 운영회사: VoLT Directories SAo 서비스 소개: 우루과이 Yello page로 우루과이 업체 정보 수록o 언어: 스페인어□ 제공 정보o 기업명, 주소, 전화번호, 홈페이지, 이메일, 관련 검색어 제공",아르헨티나,중남미
53,[우즈베키스탄] Allbiz,"□ 사이트 개요o사이트 유형:기업 및 제품 온라인 홍보, 거래 플랫폼o13개국에 사무실 보유, 89개국 130만개 기업, 2,000만 상품, 서비스 등록o언어:한국어, 영어, 중국어, 일본어, 러시아어, 스페인어 등 26개 국어  □ 제공 정보o기업명, 국가, 제품명, 제품세부정보, 사진, 가격, 연락처, 홈페이지 등",우즈베키스탄,아시아
54,[우크라이나] Business-guide,"□ 사이트 개요o 사이트 유형: 기업정보검색사이트o기본 정보- 우크라이나 기업 검색 사이트 중 1위- 76000개사 무료 검색가능, 최대 560,000개(유료)의 기업 DB보유o 언어: 영어, 우크라이나어, 러시아어□ 제공 정보o 주요국의수출업체 및 제조업체 관련 정보- 회사명, 대표자명, 회사등록일, 전화, 주소, 종업원 수, 수출입국가, 제품정보, 제품가격",우크라이나,유럽
55,[우크라이나] Allbiz,"□ 사이트 개요o 사이트 유형: 기업정보검색사이트o기본 정보- Allbiz는 세계적인 검색 사이트이며 우크라이나에 설립된 것은 지사임.- 1,327,000개 기업 검색가능o 언어: 영어, 우크라이나어, 러시아어, 프랑스어, 한국어 등 26개국 언어(홈페이지 상단 언어 선택 기능)□ 제공 정보o로그인 없이 무료로 우크라이나 전역 각 대도시 및 전세계 240여국의 수입업체, 수출업체에 대한 기업 정보 제공o설립연도, 담당자명, 주소, 홈페이지, 전화번호, 팩스번호, 종업원수, 주요 공급 제품 및 서비스, 경우에 따라 간단한 기업 소개 등",우크라이나,유럽
56,[인도] India Mart,"□ 온라인 바이어 발굴 사이트 개요o 사이트명 : Indiamart.com o 특징 : 인도 최초의 온라인 B2B 마켓플레이스이며, 인도내 500만개 이상의 공급업체, 6,000만개 이상의 바이어 기업 정보가 수록되어 있음.o사용언어 : 영어□ 제공서비스 내용o 바이어 정보확인 : 부분유료 (연 250달러, 혹은 그 이상으로 다양한 옵션 제공)o 수출입관련 인콰이어리 등록시 유로 서비스 필수 : (등록) 1,500달러/연, (카탈로그 등록) 390달러/회",인도,아시아
57,[인도] Kompass India,"□ 온라인 바이어 발굴 사이트 개요o 사이트명 : https://in.kompass.com o 특징 :세계적인 B2B 사이트인 Kompass의 인도 지역 운영 사이트. 64개국 280만개 기업정보 수록o사용언어 : 영어□ 정보이용 : 연 25,000루피 (약 45만원)",인도,아시아
58,[인도] TradeIndia,"□ 온라인 바이어 발굴 사이트 개요o 사이트명 : Tradeindia.com o 특징 :인도 및 주요 3-4개국 430만개사의 기업정보 수록 (기업명, 대표전화, 홈페이지, 담당자 연락처 등)o사용언어 : 영어□ 비용여부 : 부분 유료 (수입 및 구매업체 정보의 경우 연 284달러)",인도,아시아
59,[인도] Kompass India,"□ 사이트 개요o 사이트 유형: e-마켓플레이스o 사이트명 :https://in.kompass.com o 영국에 본사를 두고 있으며 60년이 넘는 기간 동안 서비스를 제공하고 있음.o SIC 코드 검색 방법을 사용하여 정확한 검색 결과를 제공함.o세계적인 B2B 사이트인 Kompass의 인도 지역 운영 사이트. 64개국 280만개 기업정보 수록o 언어: 영어□ 제공 정보o 전 세계 65개국에 존재하는 4백만 여개의 수입업체, 수출업체 및 제조업체 관련 정보 및 판매구매 오퍼 현황 제공* 유무료 회원별 이용 가능 정보 차별 제공o 전문적인 마케팅 서비스를 제공하여 기업의 판매량 증가에 기여하고 있음.o 최신 경제 동향, 유망 산업, 신제품 트렌드에 대한 뉴스 제공 □ 정보이용o연 25,000루피 (약 45만원)",인도,아시아
60,[인도네시아] PT Dataindo Inti Swakarsa,"□ 사이트 일반정보o 본 사이트는 인니 기업 정보, 관세, 수출입 및 산업 동향에 대한 정보 제공- 약 48,000개의 기업에 대한 정보 보유하고 있으며, 회사 기본 정보, 분야별로 수출입 업체, 제조업체, 공공기관에 대한 데이터도 보유- 또한 기업 정보 외에도 농업, 어업, 광업, 건설, 유통 등 주요 산업 동향 보고서도 제공 - 최신 데이터는 항목별로 유료임o 언어: 영어o 정보 수집은 주로 설문조사(전화, 팩스, 이메일, 문자)를 통해 이뤄지며, 이외에도 정부기관, 언론 등을 통해 정보 수집함.",인도네시아,아시아
61,[일본] NC network,"□ 사이트 개요o사이트 유형: e-마켓플레이스o자체 검색 엔진을 이용하여 제조업체의 구매부서을 검색, 발주자로 하여금 최적의 발주처 회사를 찾을 수 있도록 하는 공장검색 엔진, 제조업체와 (동 사이트) 등록기업을 연결해주는 가공사업부 등의 서비스 운영o언어: 일본어, 한국어, 중국어, 베트남어, 태국어, 독일어o운영기관: 주식회사 NC네트워크(URL) https://www.nc-net.or.jp/ncnetwork/company/ □ 제공 정보o생산 위탁이 가능한 공장 검색 데이터베이스(에미다스) 제공, 회원 기업에 의한 협력업체 및 아웃소싱 안건 게재 등* 유무료 회원별 이용 가능 정보 차별 제공",일본,아시아
62,[일본] The Business Mall,"□ 사이트 개요o사이트 유형: 기업정보 사이트,e-마켓 플레이스o일본 전국의 상공 회의소상공회가 운영하는 상거래 지원 사이트. 일본 전국 30만 건의 기업 데이터베이스를 검색하고 거래처 검색 가능. 회원 기업의 경우, 상품 및 서비스의 PR, 거래 안건 및 파트너 검색 가능o언어: 일본어o운영기관: 더 비즈니스 몰 사무국(오사카 상공회의소내)(URL) http://www.osaka.cci.or.jp/ □ 제공 정보o일본 전국 30만 건의 기업 데이터베이스(회사명, 소재지, 사업 개요, PR, 자본금, 직원 수, 홈페이지 유무), e-마켓 플레이스 제공 등* 유무료 회원별 이용 가능 정보 차별 제공",일본,아시아
63,[일본] Hotfrog,"□ 사이트 개요o사이트 유형: 기업검색사이트oHotfrog는 호주 시드니를 거점으로 Cirrus Media사가 운영하는 기업검색 사이트이며 2006년에 운영 개시됨. 매월 4,792,852명이 동 사이트를 방문하여 열람회수(page view)는 10,994,604회를 기록함.o언어: 일어(기타 영어/이탈리아어/독일어 사이트가 있음.)□ 제공 정보o현재 38개국 약 6,900만개사의 정보가 등록되어 있으며 제조, 무역, 도소매, 서비스 등 다양한 업종이 등록되어 있음.* 유무료 회원별 이용 가능 정보 차별 제공",일본,아시아
64,[중국] HC360,"□ 사이트 개요o사이트 유형: e-커머스o1992년에 설립, 2003년 홍콩에서 상장하였으며 중국내 정보서비스 및 b2b 전자상거래서비스 최초 상장한 회사이며, ISo9001 품질 관리 시스템 인증 획득o언어: 중국어□ 제공 정보o판매?구매 오퍼 정보, 대리, 협력, 입찰, 임대 등 정보 제공 - 등록 기업수 1500만 이상, 바이어 수량 1120만개 달하며 70여개 산업 포함* 유무료 회원별 이용 가능 정보 차별 제공",중국,아시아
65,[중국] b2b168,"□ 사이트 개요o 사이트 유형: e-커머스o 2005년 설립, 주로 중소기업 대상o 언어: 중국어, 영어□ 제공 정보o 현재 세계 220개 국가와 지역의 상인들에게 판매?구매 오퍼 정보 현황* 유무료 회원별 이용 가능 정보 차별 제공",중국,아시아
66,[중국] Alibaba,"□ 사이트 개요? 사이트 유형 : e-마켓플레이스? 알리바바그룹이 중국 중소기업의 글로벌 수출을 위해 건설한 E-BIZ 플랫폼으로, 중국 전역 1,400개 이상의 기업 정보를 보유하고 있으며, 220여 개국에서 서비스 중임. ? 언어 : 영어, 중국어□ 제공 정보 ? 중국 대륙지역 중소기업(생산형, 유통형, 서비스형) 기업소개, 제품정보, 구매정보□ 사이트 기능 ? 무역정보 조회 - 상품, 회사, 지역 등에 따라 구분하여 조회 가능 ? 무역정보 게시 - 사용자 신분(등급)에 따라 구매판매 정보 게재 가능 ? 온라인 거래  사이트 링크를 통해 유관 B2B/B2C 플랫폼에서 온라인 거래 진행 가능",중국,아시아
67,[중국] 메이드인차이나,"□ 사이트 개요o 사이트 유형: B2B e-마켓플레이스o 온라인 B2B 전자 상거래 플랫폼을 사용하여, 효과적으로 전 세계의 구매자와 중국 공급 업체 간의 거래를 촉진하고 있으며, 전 세계에 중국 제품과 서비스를 홍보o 언어: 스페인어, 포르투갈어, 프랑스어, 러시아어, 이탈리아어, 독일어, 네덜란드어, 아랍어, 한국어, 일본어□ 제공 정보o 세분화된 상품별 공급업체 리스트 및 각 공급업체들의 주요상품, 산업별 공급업체 밀집 지역, 대외구매 유통채널, 구매자 검색 등 바이어와 공급업체에게 필요한 정보 제공",중국,아시아
68,[체코] ABC Czech and Slovak,"□ 사이트 개요o 사이트 유형: e-마켓플레이스o 사이트 : www.abceu.eu o 체코 최대 B2B 마켓플레이스로 1996년 설립이래 체코, 슬로바키아, 폴란드의 기업 정보, 입찰 정보 또한 함께 제공하고 있음.o 언어: 영어, 체코어, 슬로바키아어, 프랑스어, 독일어, 스페인어, 러시아어, 폴란드어, 이태리어, 헝가리어□ 제공 정보o 체코, 슬로바키아, 폴란드의 수입업체, 수출업체 및 제조업체 관련 정보 및 판매구매 오퍼 현황* 유무료 회원별 이용 가능 정보 차별 제공",체코,유럽
69,[체코] Czech Exporters Directory,"□ 사이트 개요o 사이트 유형: 기업정보 제공o 사이트 주소: http://exporters.czechtrade.cz/en/ o 체코 무역진흥공사격인 Czech Trade에서 운영하는 기업 디렉토리로 체코 내 기업 정보, 체코 기업 생산 제품 정보를 제공하고 있음.o 언어: 영어, 체코어, 프랑스어, 독일어, 스페인어, 러시아어, 폴란드어, 이태리어, 헝가리어, 불가리아어, 루마니아어, 세르비아어, 크로아티아어, 포르투갈어□ 제공 정보o 체코의 수출업체 및 제조업체 정보 및 기업별 생산 제품 및기업별 제공 서비스 현황 소개",체코,유럽
70,[칠레] Mercantil,"□ 사이트 개요o 사이트 유형: 기업정보제공 사이트o 6만개 칠레 기업 기본 정보를 보유한 칠레 최대 기업 검색엔진임.o 언어: 영어, 스페인어, 포르투갈어□ 제공 정보o 산업분야별 기업 디렉토리로 각 기업의 전화, 팩스, 홈페이지, 종업원 수, 수출입금액, 수출입 품목 등 기본적인 기업 정보를 제공함.",칠레,중남미
71,[카자흐스탄] Satu,"□ 사이트 개요o 사이트 유형: e-마켓플레이스o 2008년 설립되어 2009년부터 중구 및 동유럽 최대 인터넷 상거래회사인 Allegro Group에서 운영중o 언어: 러시아어□ 제공 정보o 카자흐스탄 내8,537,217개의 서비스, 상품 정보 및 판매구매 오퍼 현황□ 사이트주소 : www.satu.kz",카자흐스탄,아시아
72,[캄보디아] yellow pages,"□ 사이트 개요o 사이트 유형: 캄보디아 옐로우 페이지(yellow pages)o 2009년 CamYP Co., Ltd에 의해 사이트가 개설되었으며, 캄보디아 업체 정보를 알 수 있는 주요 검색사이트임.o 언어: 영어, 크메르어",캄보디아,아시아
73,[캐나다] Profile Canada,"□ 사이트 개요o 사이트 유형: 기업정보 검색 엔진o 캐나다 기반 비즈니스 검색 엔진으로, 백만 여개의 지역 비즈니스 정보를 보유하고 있음. 고객들에게는 업체 정보 제공, 업체에는 홍보 서비스를 제공함.o 언어: 영어□ 제공 정보o 캐나다 백만 여개의 수입업체, 수출업체 및 제조업체 관련 포괄적인 정보를 제공함.* 회원가입은 무료이며, 회원가입 유무에 따른 별도의 차별적 정보 제공 없음.o 현지 신규창업 기업 정보 및 새롭게 업데이트된 기존 기업정보를 실시간 업로드.",캐나다,북미
74,[캐나다] Shop Wholesale,"□ 사이트 개요o 사이트 유형: 도매기업 디렉토리 웹사이트o 상품 카테고리별로 캐나다 내 도매 업체 정보를 정리하여 게재하고 있으며, 모든 정보는 무료로 공개o 기업 주소, 전화번호, 팩스, 웹사이트 등의 정보가 등재되어 있으나, 연매출, 신용등급 등의 상세 정보는 검색 불가o 언어: 영어□ 제공 정보o 품목 중심으로 132개 대분류로 구분되어 있으며, 각 분류 항목은 해당 품목을 취급하는 기업 리스트 연결됨. 일부 항목의 경우 하위에 세부 분류가 있기도 함.o 기업의 기본정보(상호, 주소, 전화, e-mail) 및 소개자료가 제공되나, 기본 정보가 제대로 갖추어지지 못한 기업도 다수 존재o 무료로 제공되는 정보로서, 별도의 회원 가입 없이 사용 가능",캐나다,북미
75,[케냐] 옐로페이지,"□ 사이트 개요o 사이트 유형: 기업검색사이트o 케냐 우정국에서 공식으로 제공하는 케냐 내 등록된 공공-민간기업의 기본 접촉정보를 수록함. 케냐에서 제공하는 검색사이트 중 최대의 바이어 정보 수록o 언어: 영어□ 제공 정보o 240여국의 수입업체, 수출업체 및 제조업체 관련 정보 및 판매구매 오퍼 현황* 무료 이용 가능",케냐,아프리카
76,[콜롬비아] Camara de Comercio,"□ 사이트 개요? 사이트 유형 : 콜롬비아 도시별 상공회의소 기업정보 홈페이지? 콜롬비아 상공회의소 회원 기업 검색 가능? 언어 : 스페인어□ 제공 정보? 사업자등록번호(NIT), 취급품목(UNSCP), 종업원 수, 벌금 징수 내역 등 -기업별 정보는 회원기업이 등록한 정보에 따라 다를 수 있음",콜롬비아,중남미
77,[콩고민주공화국] BIZ CoNGo,"□ 사이트 개요o 사이트 유형: 업체홍보사이트- 홍보위주의 사이트로서 업체가 정보 자발 제공(연 US$ 350)- 업체홍보정보를 모아서 분야별로 검색이 가능하도록 만든 사이트임.o 2010년 개설o 언어: 불어o 등록업체수: 3500개사□ 제공 정보o 콩고 업체별 세부 정보- 자발적으로 등록한 업체만 검색 가능o 검색가능정보- 활동내용, 주소, 전화 및 팩스, 홈페이지, 회사로고, 광고내용, 사업장 사진, 찾아오는길, facebook 및 twitter",콩고민주공화국,아프리카
78,[탄자니아] Tradekey,"□ 사이트 개요 ㅇ 홈페이지 주소 : tanzania.tradekey.com ㅇ 사이트 유형 : e-마켓플레이스 ㅇ 언어 : 영어ㅇ 파키스탄 및 중동을 기반으로 2006년 설립되어 세계 최초로 ISo 9001 품질 경영 시스템과 ISo 27001 정보 보호 시스템 인증을 모두 획득하였으며, 탄자니아 및 케냐, 우간다, 나이지리아 등 아프리카 국가를 위한 홈페이지 서비스 구축□ 제공 정보 ㅇ 탄자니아 내 수입 및 수출, 제조 기업 관련 정보 및 판매, 구매 오퍼 현황□ 메뉴 구성ㅇ Home -Browse Categories : 주요 상품군으로 분류되어 있으며, 상품 클릭 시 해당 상품 제조 기업 리스트 조회 가능 - Featured Products :최신 업데이트 상품들의 정보 열람 가능 ㅇ Products -상품군이 ABC 순서로 분류되어 있으며, 상품 클릭 시 해당 상품 제조 및수출 기업의 오퍼리스트 조회 가능 ㅇ Buyers - 각 상품을 필요로 하는 바이어의 오퍼리스트 조회 가능 ㅇ Companies - 각 분야별 기업 조회 가능□검색 방법 ㅇ 기업 검색자료원 : Tradekey  Browse Categories에서 찾고자 하는 상품군 클릭  상품군 확인 후 클릭  해당 상품을 필요로 하는 바이어의 오퍼리스트 조회 가능□회원 등급별 이용 가능 서비스 ㅇ 무료회원 - 기본 정보 조회 가능 ㅇ Silverkey Member (유료회원) - 무료회원보다 7일 먼저바잉 오퍼 조회 가능 - 온라인 쇼룸 제공 - Tradekey 사이트 검색 시 상위에 노출ㅇ Goldkey Member (유료회원) - Silverkey Member서비스 기본 제공 - 검색 엔진 최적화를 통한 상품 노출 최대화 - 배너 광고를 통해 상품 노출 기회 추가 제공 - 'TradeMate' 메신저로 바이어와의 연결 서비스 제공 ㅇ Goldkey Plus Member (유료회원) - 제품 웹사이트,동영상, 카탈로그 및대형 홍보 배너 제공 -12주간 검색 결과 최상위에 노출 - 리스트 미포함 잠재 바이어와의 연락 알선□문의처  ㅇ 이메일 : info@tradekey.com, contactus@tradekey.com ㅇ 전화번호 : +1-209-227-2270끝.",탄자니아,아프리카
79,[태국] Thaitrade.com,□ 사이트 개요o 사이트 유형: e-마켓플레이스o 태국을 기반으로 2011년 설립되어 태국 상무부에 소속된 DITP(Department of International Trade Promotion)가 운영하고 있음.o 언어: 영어□ 제공 정보o 태국 수출업체 및 제조업체 관련 정보 및 판매구매 오퍼 현황* 무료 회원가입및 이용 가능,태국,아시아
80,[파나마] Panamcham ,"□ 사이트개요o 사이트유형: 바이어정보조회(상공회의소)o 특징: 파나마미국상공회의소는1979년 10월 31일에 설립되어 파나마경제의15개의상업및산업분야를대표하는 450여 명의 회원을 보유하고 있으며, 다양한 컨퍼런스포럼세미나 등파나마 경제, 산업의정보를공유함.o 언어: 영어, 스페인어□ 제공정보o ABC 순으로세분화된회원정보와품목으로분류되어있음.",파나마,중남미
81,[폴란드] Teleadreson.com / Panorama Firm,"(1) Teleadreson.com  □ 사이트 개요ㅇ 사이트 유형: 기업 정보 제공ㅇ 폴란드에서 2000년에 설립된 oNLINE Advertising사의 지적 재산으로 폴란드, 유럽, 국제 저작권법과 공업소유권법에 의해 보호받고 있음ㅇ 언어: 영어, 폴란드어□ 제공 정보ㅇ 폴란드 기업 기본 정보(회사명, 주소, 연간 매출액, 종업원 수, 홈페이지 등)(2) Panorama Firm□ 사이트 개요ㅇ사이트 유형: 기업 정보 제공ㅇ 북유럽에서 Yellow Page 발간 및 배포를 전문으로 하는 Enrico Poland가 운영하는 웹사이트ㅇ언어: 폴란드어□ 제공 정보ㅇ 폴란드 기업 기본 정보 (회사명, 주소, 연락정보, 취급품목, 홈페이지 등)",폴란드,유럽
82,[필리핀] Yellow Pages,"□ 사이트 개요o 사이트 유형: 디렉토리 검색 및 온라인거래o 필리핀 최대 디렉토리 DB인 Directories Philippines Corporation의 온라인 버전으로 1999년부터 서비스 시작o 언어: 영어□ 제공 정보o 기업명, 주소, 지도위치검색, 전화번호, 웹사이트 링크, 기업분류 및 QR코드, 페이스북 공유 및 추천순위, 고객 이용후기 등 해당기업에 대한 다양한 정보 제공",필리핀,아시아
83,[헝가리] HBI,"□ 사이트 개요o 사이트 주소: www.hbi.hu o 사이트 유형: 기업검색 사이트 및 비즈니스 정보 제공o 유럽에서 대표적인 비즈니스와 시장 정보를 제공하는 기업인 BISNoDE 의 소속으로, 헝가리 내 기업 정보를 제공함.- 무료일 때는 키워드 검색으로, 기업명, 주소, 세금번호, 등록 번호만을 알수 있음.- 유료 회원일 때는 키워드 검색으로, 기업 매출액, 재무상태, 연락처 등을 알 수 있음.o 언어: 영어, 헝가리어o 사용 요금: 가격은 공개되어 있지 않고, 메일을 보내면 비즈니스 시간 24시간 안으로 회신이 오게 되어 있음.",헝가리,유럽
84,[호주] Hotfrog,"□ 사이트 개요? 사이트 유형 : 기업 검색사이트? 언어 : 영어, 중국어, 일본어, 러시아어, 스페인어, 덴마크어, 프랑스어, 독일어, 이탈리아어, 노르웨이어, 인도네시아어, 네덜란드어, 체코어, 포르투갈어 등? 호주를 기반으로 2005년 설립되었으며, 모기업은 Moboom Ltd임.□ 제공 정보? 38개국 1억2천만개 업체들의 상품, 서비스 및 연락정보 제공 * 유무료 회원별 정보 차별적으로 게시 (업그레이드 옵션 - Hotfrog AdVantage)",호주,대양주
85,[홍콩] 홍콩무역발전국,"□ 사이트 개요o 사이트 유형 : e-마켓플레이스( www.hktdc.com ) o 홍콩무역발전국은 홍콩과 중국으로부터의 소싱, 사업 확장을 돕는 비즈니스 매칭서비스를 제공하고 있음. 홍콩과 중국을 비롯한 13만 개가 넘는 공급업체들이 HKTDC 온라인 마켓플레이스를 통한 거래를 하고 있으며 HKTDC 개최 전시회 참여 바이어, 셀러 정보가 연결되어 있어 데이터가 풍부함.o 언어 : 영어, 중국어(번체, 간체), 독일어, 스페인어, 프랑스어, 이탈리아어, 포르투갈어, 러시아어□ 제공 정보o 각국의 13만 개가 넘는 수입업체, 수출업체 관련 정보(설립 년도, 규모, 업종, 연간 매출 규모, 수출시장 등)를 제공하고 있으며 특히 중국 성별, 도시별 주요 공급업체 및 제조업체 관련 정보와 판매구매 오퍼 현황 등을 제공함.",홍콩,아시아
86,[아순시온] 파라과이 수입협회 홈페이지 안내,"아래와 같이 파라과이 수입협회(CIP)를 소개하오니, 현지 수입업체 물색 시 참고하시기 바랍니다. 상단 ASoCIADoS 를 클릭하면 회원사 목록을 확인하실 수 있습니다.- 아 래 -□ 개요o 수입업체 정식명칭: Centro de Importadores del Paraguay (CIP)o 창립년도: 1939년o 회원수: 약 550개사 (전 수입업체의 80%)o 주소: Av. Brasilia N 1.947 casi Av. Artigaso 전화번호: 595 21 299 800 / 595 21 280 600o E-mail: cip@cip.org.pyo 홈페이지: www.cip.org.py.끝.",파라과이,중남미
87,[베트남] Doanhnghiepmoi,"□ 사이트 개요 o Doanhnghiepmoi 는 베트남 현지 기업 검색 사이트로, 현지 회사 명 혹은 Tax Code를 입력하면 관련 기업 정보를 검색해 볼 수 있음. o 제공 언어: 베트남어□ 제공 정보 o 베트남 현지 기업의 사업자 등록일, 활동 여부, 주소, 연락처, 팩스번호, 소유주 정보, 주요 특징 등 전반적인 기본 정보를 무료로 조회 가능□ 메뉴 구성 o Doanh nghi?p m?i thanh l?p - 최근 신규로 등록된 기업 순서대로 정보가 등록되어 있음. - 하노이, 호찌민시, 다낭 등 도시별로 검색 가능 https://thongtincongty.vn/",베트남,아시아
88,[싱가포르] Kompass Singapore,"[싱가포르] Kompass Singapore ( https://sg.kompass.com/ ) □ 사이트 개요? 사이트 유형 : e-마켓플레이스? 영국에 본사를 두고 있으며 60년이 넘는 기간 동안 서비스를 제공하고 있음? SIC 코드 검색 방법을 사용하여 정확한 검색 결과를 제공함? 언어 : 영어□ 제공 정보? 전 세계 70개국에 존재하는 4백만 여개의 수입업체, 수출업체 및 제조업체 관련 정보 및 판매구매 오퍼 현황 제공* 유무료 회원별 이용 가능 정보 차별 제공? 전문적인 마케팅 서비스를 제공하여 기업의 판매량 증가에 기여하고 있음? 최신 경제 동향, 유망 산업, 신제품 트렌드에 대한 뉴스 제공",싱가포르,아시아
89,[우즈베키스탄] YELLoWPAGESUZBEKISTAN,"□ 사이트 개요? 사이트 유형 : 기업 홍보 및 검색사이트? 1995년 우즈베키스탄 내 서비스를 개시하였으며 우즈베키스탄에서 활동하고 있는 16,000개 이상의 기업을 지역별, 취급 품목별로 조회하거나 기업명, 전화번호 등으로 조회가능? 언어 : 영어, 러시아어, 우즈벡어□ 제공 정보 ? 기업명, 전화번호, 팩스, 주소, 브랜드, 홈페이지 내 기업 조회수 등",우즈베키스탄,아시아
90,[우즈베키스탄] GoLDEN PAGES,"□ 사이트 개요? 사이트 유형 : 기업 홍보 및 검색사이트? 2002년 우즈베키스탄 내 서비스를 개시하였으며 우즈베키스탄에서 활동하고 있는 22,000개 이상의 기업을 지역별, 취급 품목별로 조회하거나 기업명, 전화번호, 이메일 등으로 조회가능? 언어 : 영어, 러시아어□ 제공 정보? 기업명, 전화번호, 팩스, 주소, 우편번호, 홈페이지 주소, 기업 및 제품 소개 등",우즈베키스탄,아시아
91,[말레이시아] FMM; Federation of Malaysian Manufacturers,"□ 사이트 개요? 사이트 유형 : 말레이시아 제조업체 연합 사이트? 말레이시아 제조업체 연합(FMM; Federation of Malaysian Manufacturers)은 3,000개 이상의 말레이시아 제조 및 산업 서비스 회사를 대표하는 말레이시아에서 가장 큰 민간 부문 경제 조직임.? 언어 : 영어",말레이시아,아시아
